"","variable","mean","std_dev","variation_coef","p_01","p_05","p_25","p_50","p_75","p_95","p_99","skewness","kurtosis","iqr","range_98","range_80"
"1","2009",434124.571428571,173159.866556753,0.39887137921481,147612.88,205704.4,377094.5,430682,518168,650957.9,677851.58,-0.321279508109224,2.71116050915999,141073.5,"[147612.88, 677851.58]","[278318.8, 617340.8]"
"2","2010",435710.142857143,173797.277545256,0.398882790300889,147522.26,206099.3,378572,431423,521307.5,652571.1,679243.02,-0.334710244355842,2.71206914100226,142735.5,"[147522.26, 679243.02]","[279320.6, 619231.2]"
"3","2011",437679.714285714,174598.50090299,0.398918421859994,147801,206721,380219,432634,524599,655015,681736.6,-0.342646841612039,2.71225971581935,144380,"[147801, 681736.6]","[280371, 621613]"
"4","2012",439152.428571429,175098.81931532,0.398719915736137,147806.56,206972.8,381470,434288,526950,656400.2,683219.24,-0.354456165685972,2.71718772968225,145480,"[147806.56, 683219.24]","[280930.6, 622876.4]"
"5","2013",440344.571428571,175703.909150079,0.39901459118721,147617.34,206942.7,381904,435710,529464,657629.8,684469.96,-0.363902926151584,2.71458901533712,147560,"[147617.34, 684469.96]","[281099.4, 624079.6]"
"6","2014",441719.428571429,176375.501200192,0.399293057519817,147695.52,207369.6,382673,437214,531816,659385.1,686330.62,-0.369475019960017,2.71300772587232,149143,"[147695.52, 686330.62]","[281962.2, 625703.2]"
"7","2015",442726.571428571,176687.372921645,0.399089154173687,147753.94,207849.7,383195.5,438884,533860.5,660025.5,686693.1,-0.381001743052864,2.71102729848563,150665,"[147753.94, 686693.1]","[282969.4, 626691]"
"8","2016",444735.714285714,177480.038077257,0.399068553246969,147416.14,207732.7,384898,441301,537445,661827.5,688226.3,-0.400338603300621,2.71451111673449,152547,"[147416.14, 688226.3]","[283128.4, 628829]"
"9","2017",446452.142857143,178181.138759998,0.399104678095391,147618.44,208032.2,385904.5,443368,540594.5,663721.7,689771.54,-0.409483256109667,2.70833053118627,154690,"[147618.44, 689771.54]","[283549.4, 631159.4]"
"10","2018",448375.857142857,179095.686246606,0.399432046559868,147637.08,208397.4,387493.5,445190,543819,666225.8,691940.36,-0.417929422029963,2.70595138658936,156325.5,"[147637.08, 691940.36]","[284347.8, 634082.6]"
"11","2019",450411.285714286,179794.708140251,0.399178958971073,147725.94,208889.7,388796,448639,547327,667940.5,693235.3,-0.435394640070933,2.70525491400908,158531,"[147725.94, 693235.3]","[285344.4, 636322]"
"12","Total",4861432.42857143,1939675.57445086,0.398992602067464,1624970.84,2284530.2,4212220,4819333,5855350.5,7251700.1,7542717.62,-0.37638452504129,2.71181564380547,1643130.5,"[1624970.84, 7542717.62]","[3108979.4, 6887928.2]"
